pos_x, pos_y, pos_z
0.173452, 0.013413, 0.220122
0.166356, 0.002454, 0.211690
0.156074, 0.001598, 0.194769
0.149550, 0.013692, 0.287775
0.147680, 0.010044, 0.279510
0.142619, 0.012796, 0.265063
0.117884, 0.013686, 0.186637
0.116573, 0.018467, 0.193775
0.116702, 0.021688, 0.194505
0.116473, 0.019970, 0.233047
0.144759, 0.023640, 0.176803
0.141625, 0.020351, 0.202699
0.138370, 0.010031, 0.196220
0.217620, -0.096852, 0.443502
0.221832, -0.041923, 0.322802
0.071349, -0.142172, 0.406444
0.072930, -0.228157, 0.890534
0.077111, -0.094050, 0.616906
0.071056, -0.098682, 0.588605
0.076852, -0.097443, 0.577625
-0.270048, 0.017015, 0.419889
-0.360887, -0.159787, 1.537425
-0.215964, -0.135040, 0.743946
-1.205503, -0.599519, 1.578878
-0.730419, -0.341412, 0.910053
-0.302593, -0.053697, 0.469093
-0.281937, -0.036205, 0.350833
-0.240329, -0.084516, 0.358911
-0.407529, -0.079102, 0.517608
-0.408791, -0.105917, 0.542359
-0.292111, -0.042721, 0.389068
-0.223831, -0.116595, 0.776701
0.152926, -0.028658, 0.177876
0.156064, 0.028282, 0.222510
0.044398, -0.037372, 0.215232
0.044231, -0.029300, 0.215260
0.036570, -0.044068, 0.223924
0.028547, 0.061692, 0.242982
-0.000712, -0.020174, 0.242861
0.017851, -0.049493, 0.225511
-0.067988, -0.024481, 0.221450
-0.112026, 0.030636, 0.247141
0.045004, -0.038109, 0.218201
-0.033591, -0.032229, 0.228202
0.036343, -0.046201, 0.222637
-0.055497, -0.016654, 0.125401
-0.046272, 0.012719, 0.252773
-0.019887, 0.007656, 0.241734
-0.012767, 0.002916, 0.219834
-0.024430, 0.018135, 0.138301
-0.002008, 0.016962, 0.118299
0.026825, -0.059429, 0.230475
-0.120308, -0.012181, 0.204248
-0.115415, -0.029628, 0.199419
0.023988, -0.026867, 0.157540
-0.060166, 0.004356, 0.166051
0.031232, 0.002217, 0.202447
0.051135, 0.007683, 0.212801
0.046116, 0.101016, 0.303696
-0.008153, 0.015397, 0.113283
-0.055817, 0.002992, 0.126256
-0.059217, 0.012849, 0.132968
-0.004551, 0.015917, 0.115377
0.046437, -0.031863, 0.221023
0.066815, -0.025610, 0.183180
0.034278, -0.006816, 0.221942
0.036561, -0.050169, 0.223399
-0.039766, -0.031391, 0.238353
0.023481, -0.023559, 0.234419
-0.033522, -0.018230, 0.238636
-0.098772, -0.046294, 0.305407
-0.010189, -0.061264, 0.231301
-0.049978, -0.043943, 0.233041
-0.028877, -0.040790, 0.234976
-0.058333, -0.009676, 0.244867
-0.029520, -0.016904, 0.213209
-0.021333, 0.019408, 0.165393
0.008670, 0.040414, 0.232838
-0.001561, -0.050285, 0.227965
-0.032071, -0.021373, 0.273933
-0.073248, -0.043690, 0.217503
0.017342, -0.045354, 0.223777
-0.069184, 0.004701, 0.275867
-0.036202, 0.007769, 0.159114
-0.004902, -0.061765, 0.231429
0.012334, -0.053075, 0.369270
-0.028962, -0.042366, 0.238157
-0.068929, -0.017083, 0.254739
-0.096168, -0.035781, 0.297802
-0.200103, 0.011088, 0.195919
-0.087381, 0.022287, 0.186701
-0.253152, -0.185967, 0.454266
-0.258355, -0.034096, 0.229399
-0.037848, 0.010405, 0.137642
-0.177376, -0.038164, 0.271026
